2024-10-17 21:36:02,193 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 16, delta value: 20 done
2024-10-17 21:36:02,293 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 16, delta value: 15 done
2024-10-17 21:36:02,471 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 59, delta value: 20 done
2024-10-17 21:36:02,758 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 16, delta value: 10 done
2024-10-17 21:36:02,972 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 59, delta value: 10 done
2024-10-17 21:36:02,997 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 59, delta value: 15 done
2024-10-17 21:36:03,031 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 63, delta value: 20 done
2024-10-17 21:36:03,321 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 20, delta value: 20 done
2024-10-17 21:36:03,462 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 20, delta value: 15 done
2024-10-17 21:36:03,492 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 63, delta value: 15 done
2024-10-17 21:36:03,601 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 14, delta value: 10 done
2024-10-17 21:36:03,611 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 64, delta value: 10 done
2024-10-17 21:36:03,682 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 14, delta value: 20 done
2024-10-17 21:36:03,754 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 34, delta value: 15 done
2024-10-17 21:36:03,760 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 64, delta value: 20 done
2024-10-17 21:36:03,888 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 64, delta value: 15 done
2024-10-17 21:36:03,914 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 70, delta value: 10 done
2024-10-17 21:36:03,914 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 20, delta value: 10 done
2024-10-17 21:36:03,949 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 34, delta value: 20 done
2024-10-17 21:36:04,013 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 34, delta value: 10 done
2024-10-17 21:36:04,051 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 41, delta value: 20 done
2024-10-17 21:36:04,069 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 38, delta value: 15 done
2024-10-17 21:36:04,105 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 38, delta value: 20 done
2024-10-17 21:36:04,119 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 35, delta value: 15 done
2024-10-17 21:36:04,147 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 70, delta value: 15 done
2024-10-17 21:36:04,358 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 41, delta value: 10 done
2024-10-17 21:36:04,433 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 70, delta value: 20 done
2024-10-17 21:36:04,491 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 63, delta value: 10 done
2024-10-17 21:36:04,502 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 54, delta value: 10 done
2024-10-17 21:36:04,517 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 35, delta value: 20 done
2024-10-17 21:36:04,559 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 35, delta value: 10 done
2024-10-17 21:36:04,559 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 38, delta value: 10 done
2024-10-17 21:36:04,564 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 54, delta value: 20 done
2024-10-17 21:36:04,592 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 41, delta value: 15 done
2024-10-17 21:36:04,857 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 13, delta value: 15 done
2024-10-17 21:36:05,001 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 14, delta value: 15 done
2024-10-17 21:36:05,026 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 13, delta value: 20 done
2024-10-17 21:36:05,041 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 68, delta value: 15 done
2024-10-17 21:36:05,048 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 68, delta value: 20 done
2024-10-17 21:36:05,053 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 39, delta value: 10 done
2024-10-17 21:36:05,053 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 54, delta value: 15 done
2024-10-17 21:36:05,212 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 47, delta value: 20 done
2024-10-17 21:36:05,245 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 13, delta value: 10 done
2024-10-17 21:36:05,266 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 68, delta value: 10 done
2024-10-17 21:36:05,496 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 47, delta value: 10 done
2024-10-17 21:36:05,626 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 39, delta value: 20 done
2024-10-17 21:36:05,742 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 7, delta value: 10 done
2024-10-17 21:36:05,807 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 52, delta value: 15 done
2024-10-17 21:36:05,864 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 52, delta value: 10 done
2024-10-17 21:36:05,924 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 19, delta value: 20 done
2024-10-17 21:36:06,130 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 19, delta value: 10 done
2024-10-17 21:36:06,170 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 7, delta value: 15 done
2024-10-17 21:36:06,186 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 62, delta value: 15 done
2024-10-17 21:36:06,206 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 62, delta value: 20 done
2024-10-17 21:36:06,212 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 19, delta value: 15 done
2024-10-17 21:36:06,218 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 30, delta value: 20 done
2024-10-17 21:36:06,270 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 7, delta value: 20 done
2024-10-17 21:36:06,364 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 39, delta value: 15 done
2024-10-17 21:36:06,394 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 30, delta value: 15 done
2024-10-17 21:36:06,498 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 21, delta value: 15 done
2024-10-17 21:36:06,575 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 80, delta value: 10 done
2024-10-17 21:36:06,588 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 67, delta value: 10 done
2024-10-17 21:36:06,588 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 21, delta value: 20 done
2024-10-17 21:36:06,593 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 80, delta value: 15 done
2024-10-17 21:36:06,597 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 80, delta value: 20 done
2024-10-17 21:36:06,620 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 62, delta value: 10 done
2024-10-17 21:36:06,628 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 75, delta value: 10 done
2024-10-17 21:36:06,647 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 21, delta value: 10 done
